,SpeciesGroup,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mammal,,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal,Mammal Total,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other Total,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark,Shark Total,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle,Turtle Total,Grand Total
CalendarYear,Bribie Island,,Cairns,Capricorn Coast,Gold Coast,Mackay,Nth Stradbroke Is.,Rainbow Beach,Sunshine Coast North,Sunshine Coast South,Sunshine Coast South & Bribie Island,Townsville,,Bundaberg,Cairns,Capricorn Coast,Gladstone,Gold Coast,Mackay,Nth Stradbroke Is.,Rainbow Beach,Sunshine Coast North,Sunshine Coast South,Sunshine Coast South & Bribie Island,Townsville,,Bribie Island,Bundaberg,Cairns,Capricorn Coast,Gladstone,Gold Coast,Mackay,Nth Stradbroke Is.,Rainbow Beach,Sunshine Coast North,Sunshine Coast South,Sunshine Coast South & Bribie Island,Townsville,,Bribie Island,Bundaberg,Cairns,Capricorn Coast,Gladstone,Gold Coast,Mackay,Nth Stradbroke Is.,Rainbow Beach,Sunshine Coast North,Sunshine Coast South,Sunshine Coast South & Bribie Island,Townsville,,
2001,,,1,,9,,,1,2,,2,1,16,1,16,3,,34,36,,6,31,,7,15,149,,62,79,86,32,85,134,20,35,76,,35,89,733,,12,4,,,27,2,6,2,6,,4,3,66,964
2002,,,,,8,1,,5,7,,,,21,3,18,4,1,39,12,,10,18,,8,7,120,,62,46,91,18,73,94,16,31,91,,40,59,621,,7,6,2,1,22,5,6,1,2,,11,2,65,827
2003,,,,1,10,,,1,3,,2,,17,1,20,3,1,28,12,,1,23,,15,9,113,,50,66,66,30,75,82,8,24,56,,35,58,550,,5,1,2,3,8,4,14,3,2,,5,5,52,732
2004,,,,,14,,,8,1,,2,,25,1,19,2,,28,24,,4,21,,9,7,115,,39,62,80,51,75,108,1,26,39,,24,76,581,,8,3,,8,4,3,8,16,2,,10,1,63,784
2005,,,2,,15,,,5,5,,,,27,6,18,1,2,35,7,,20,32,,9,10,140,,69,66,84,40,78,75,5,39,53,,21,90,620,,5,2,,4,8,1,9,45,5,,1,1,81,868
2006,,,,,7,,1,3,9,,5,1,26,1,11,3,,15,10,,12,17,,13,16,98,,49,41,68,54,38,59,23,67,52,,36,92,579,,2,4,,2,8,8,6,30,3,,2,2,67,770
2007,,,5,1,10,,,3,3,,2,,24,6,14,1,,8,7,,13,24,,20,5,98,,48,76,81,49,35,68,21,49,39,,16,73,555,,5,2,,,6,,5,24,4,,,1,47,724
2008,,,,,18,,,3,9,,3,,33,3,14,2,,13,16,,9,19,,9,12,97,,53,55,69,52,34,73,20,49,50,,31,99,585,,5,5,1,,4,1,8,19,,,,,43,758
2009,,,,1,15,,,4,2,,2,,24,3,11,1,,152,2,2,13,11,,9,16,220,,30,60,59,63,37,67,26,59,50,,19,118,588,,6,4,1,,5,,1,13,4,,1,1,36,868
2010,,,1,,16,,,3,1,,1,,22,3,20,1,,75,4,1,18,12,,4,27,165,,42,71,63,57,39,74,24,51,37,,22,119,599,,11,3,,,9,,,7,,,3,3,36,822
2011,,,,,6,2,,3,3,,4,,18,6,20,1,,28,13,,3,13,,4,20,108,,65,91,66,76,38,52,16,68,44,,20,164,700,,9,2,,,10,2,,4,1,,4,1,33,859
2012,,,,1,9,,1,,1,,1,,13,3,21,10,,30,6,,5,3,,11,25,114,,56,91,104,67,49,99,17,60,29,,21,158,751,,3,2,2,,8,1,1,7,3,,2,,29,907
